ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
228,LIVE STREAMING,Multimedia Programming,"Rp 1,000,000 - 2,000,000",30,"Hallo, apakah ada yang bisa membuat server realtime streaming cctv yang dimana fungsinya dapat menyimpan streaming, sehingga streaming tersebut dapat di rewind atau diplayback / diputar ulang dalam waktu yang diinginkan misalkan 1-5 jam kebelakang secara live menggunakan player PHP dsb), setelah 5 jam save streaming, file tsb harus otomatis terhapus. kurang lebih seperti DVR online, kalau ada yang bierpengalaman boleh silahkan di apply. TERIMAKASIH,",,,,,,,,,,,,,,,,,,,,
229,Setting L2TP atau SSTP Server mikrotik,C#,"Rp 750,000 - 1,000,000",3,"Saya butuh :1. pembuatan akun L2tp atau SSTP pada mikrotik2. Pembuatan APP desktop kecil untuk pc windows bisa beruba c# atau VB, fungsi kerjanya :- mungkin perlu di install pada PC client- Memasukkan akun L2TP atau SSTP ( pilih salah satu )pada APP tersebut- secara otomatis pc itu terhubungSetting mikrotik via remot desktop..",,,,,,,,,,,,,,,,,,,,
230,Migrasi website dari hosting ke VPS,Network Security,"Rp 300,000 - 600,000",2,"Halo sobat freelancer,Saya butuh Setup VPS, Install & Config cPanel hingga migrasi 1 Website serta Security & Optimization .Plan pakai VPS+Cpanel dari Namecheap.Lampirkan portofolio dan Bidnya ya.Terima kasih",,,,,,,,,,,,,,,,,,,,
231,Butuh bantuan terkait cyber security,Network Security,"Rp 1,500,000 - 3,000,000",30,"Selamat siang,Saya butuh bantuan terkait cyber securityBaik firewall, otentikasi multimodal, kriptografi, steganografi, static analysis, penetration testing, maupun security auditApabila ada yang ingin ditanyakan silahkan ditanyakan",,,,,,,,,,,,,,,,,,,,
232,Menginstall Windows 10 VMWare Fusion di Mac,Virtual Box,"Rp 500,000 - 750,000",10,Saya butuh orang yang bisa menginstall windows 10 pada Mac,,,,,,,,,,,,,,,,,,,,
233,IoT untuk smart bottle,Microcontroller,"Rp 3,000,000 - 5,000,000",7,"Saya sedang mencari orang yang bisa oprek aplikasi android dari smart bottle yang sudah ada IoTnya. Kemudian dibuat ulang dan direkayasa aplikasi tersebut dalam aplikasi yang saya punya, sehingga IoT pada smart bottle tersebut tetap aktif.ini link apk yang perlu dioprek : https://apkpure.com/ozmo-smart-bottle-and-water-app/com.grokinglab.android.ozmo/download",,,,,,,,,,,,,,,,,,,,
234,Rubah sistem wallet dari Laravel ke node js,Laravel Framework,"Rp 1,000,000 - 2,000,000",7,"Saya ada template wallet backend Laravel mau di rubah ke node js dengan aplikasi flutter, silahkan bid jika sudah terbiasa dengan wallet aplikasi dan top up via visa, sertakan wa",,,,,,,,,,,,,,,,,,,,
235,Pembuatan Aplikasi Taking Order Dari Aplikasi ISX Untuk Distributor,Android,"Rp 2,000,000 - 7,000,000",7,"Buat aplikasi taking order yang memunculkan stock gudang, harga barang, multi satuan, diskon item, diskon faktur.",,,,,,,,,,,,,,,,,,,,
236,"Aplikasi Android wartel dengan memanfaatkan WhatsApp VideoCall, Call GSM, WhatsApp Call",Android,"Rp 2,000,000 - 4,000,000",30,"Saat ini kami memerlukan aplikasi  android seperti wartel dengan menggunakan video call whatsapp.Alur singkat aplikasinya seperti ini:Konsumen memesan jumlah saldo ke kasir berupa kupon (qr-code) Aplikasi men-scan kupon qr-code tersebut untuk identifikasi jumlah saldo.Setelah terverifikasi konsumen memasukan nomor telepon kemudian secara otomatis aplikasi wartel membuka whatsapp videocall (android intent whatsapp), Call GSM, Call Whatsapp.Setelah jumlah saldo habis, maka aplikasi wartel lgs menutup videocall.Jumlah aplikasi:Admin untuk mencetak kupon saldo qr-codeWartel untuk aplikasi di atasUntuk back-end api nya kemungkinan kami yang buat.Jadi kita bekerjasama dalam proses pembuatannya.Bidder diutamakan yang pernah membuat aplikasi terkait serta sample yang dapat diperlihatkan (portofolio).Terima kasih,",,,,,,,,,,,,,,,,,,,,
237,Pembuatan Aplikasi Flutter Klinik Gigi,Mobile Programming,"Rp 3,000,000 - 5,000,000",25,Terdiri dari fitur :Pemesanan Jadwal BookingPendaftaran dan Rekam Medis PasienJadwal & Profil Dokter (multi branch)Freelancer harus menunjukan portofolio sejenis yang mendekatiPlatform iOS dan Android (kalau cuma bisa deploy android dimaklumi)backend dengan Laravel & MySQL,,,,,,,,,,,,,,,,,,,,
238,Augmented Reality indoor navigation pakai kotlin,Android,"Rp 1,000,000 - 1,500,000",7,Saya butuh orang yang bisa integrasi nya ARcore atau semacam nya untuk kebutuhan augmented reality indoor navigation menggunakan bahasa pemrograman kotlin,,,,,,,,,,,,,,,,,,,,
239,Fullstack Aplikasi Absensi/Presensi,Full-Stack Development,"Rp 2,500,000 - 4,000,000",30,Saya disini membutuhkan developer fullstack. Aplikasi ini telah didesain menggunakan Figma.Aplikasi yg akan dibuat berbasis Flutter/Dart.Server yg akan digunakan adalah AWS. Mail Server yg akan digunakan AWS SNS/SES.Diutamakan yang sudah pernah atau berpengalaman dengan AWS.NB : NDA dibutuhkan untuk project ini.Terima kasih.,,,,,,,,,,,,,,,,,,,,
240,Integrasi iklan ke aplikasi video,Android,"Rp 500,000 - 1,000,000",7,"Halo, saya memerlukan programmer Android yang fasih dalam bahasa Java Native dan berpengalaman dalam mengintegrasikan SDK iklan ke aplikasi Android video. Untuk source code SDK dan aplikasi Androidnya sudah ada.Jika berminat dan memiliki kemampuan yang disebut diatas, silahkan membid dengan menyertakan juga nomor WA nya untuk diskusi lebih lanjut.Terima kasih.",,,,,,,,,,,,,,,,,,,,
241,Membuat Mobile Web Untuk Fundraising,Web Programming,"Rp 10,000,000 - 15,000,0",90,"Saya sedang mencari personal maupun kelompok yang bisa mengerjakan Mobile Web Fullstack menggunakan React JS dan Node JS untuk pengerjaan 2 Aplikasi : 1) Aplikasi Qurban (2 Minggu), 2) Aplikasi Fundraising ( 2 Bulan ). Design sudah ada, untuk projek sudah ada sebelumnya bisa cek linknya disini : 1) https://qurban.langkahnyata.com/category.php?category=qurban-ln , 2) https://langkahnyata.com/ cuma pingin di re-write ke ReactJS dan NodeJS. Kami mencari kandidat yang domisili di Bandung Raya atau Cimahi (Mohon maaf untuk daerah lain tidak kami utamakan)",,,,,,,,,,,,,,,,,,,,
242,Cari jasa Upload Aplikasi ke App Store,Mobile Programming,"Rp 150,000 - 250,000",7,sedang mencari jasa upload aplikasi ke app store,,,,,,,,,,,,,,,,,,,,
243,Membuat UI/UX Mobile E-commerce,UI/UX Design,"Rp 350,000 - 600,000",10,"Halo, Saya sedang mencari freelancer yang berpengalaman dalam UI/UX untuk membuatkan template Mobile Ecommerce dengan kriteria sbb:1. Diutamakan menggunakan Figma (Zeplin, Adobe XD dipertimbangkan)2. Desain modern dan orisinil (tentunya dengan UX yang bagus)3. Icon boleh dari icon repo seperti iconfinder dll asal 1 jenis (prefer 1 creator)4. Harga untuk 6 halaman (Homepage, List Produk, Detail Produk, Keranjang Belanja, Checkout, Payment)5. Homepage terdiri dari search bar, slider, product slider, baner, dan bottom nav. Halaman lain disesuaikan seperti ecommerce2 lain di Indonesia.Thank you",,,,,,,,,,,,,,,,,,,,
244,Flutter Dev,Mobile Programming,"Rp 700,000 - 1,000,000",3,"halo saya bth flutter dev utk melanjutkan aplikasi booking gym. ada 2 menu yg perlu dilanjutkan yaitu booking dan checkin session, silahkan di bid projectnya, backend pakai dart, db pakai firebase, ui sudah ada, cantumkan WA. thanks",,,,,,,,,,,,,,,,,,,,
245,buat aplikasi android untuk skripsi,Mobile Programming,"Rp 1,250,000 - 2,500,000",14,"saya cari freelancer yang bisa membuatkan saya aplikasi android untuk Karya Ilmiah, aplikasinya tentang absensi, bisa deteksi wajah dan lokasi, rancangannya akan saya beri kepada worker pilihan saya",,,,,,,,,,,,,,,,,,,,
246,Aplikasi Mapel Untuk Depkolektor Motor Atau Mobil,Android,"Rp 3,000,000 - 5,000,000",10,"Aplikasi ini dapat digunakan untuk melakukan pelacakan kendaraan yang menunggak pembayaran di Leasing, Singkatnya data di import ke aplikasi dari file CSV lalu petugas lapangan dapat menggunakan aplikasi android untuk melakukan pelacakan hasil laporan pelacakan akan masuk ke sistem admin secara realtime,",,,,,,,,,,,,,,,,,,,,
247,Mentor ReactJS,Web Programming,"Rp 500,000 - 700,000",7,"Halo saya sedang mencari mentor ReactJS utk mengajari tim saya yg masih newbie, utk waktu fleksible tinggal janjian dgn team saya, mentor tidak perlu mengerjakan project hanya perlu mengarahkan saja. Silahkan dibid dan cantumkan no wa",,,,,,,,,,,,,,,,,,,,
248,Pengerjaan Aplikasi Manajemen Informasi Dosen - CI 3 Developer,Web Programming,"Rp 3,000,000 - 5,000,000",7,"Dear Freelancer,Kami sedang membutuhkan CI 3 Developer untuk mengerjakan project Sistem Manajemen dosen. Task: membuat beberapa fitur tambahan sesuai kebutuhan klien. Durasi pengerjaan: 1 bulan. Stack Technology:CI 3MySQLQueryJavascriptPHPKualifikasi:Pengalaman menggunakan CI lebih dari 2 tahunBersedia commit mengerjakan minimal 3 jam per hariDapat menyelesaikan task sesuai deadline yang ditentukanDetail pekerjaan akan dishare pada shortlist candidate. Silakan temen-temen yang tertarik mengerjakan boleh sertakan juga link portofolionya.Thank you!",,,,,,,,,,,,,,,,,,,,
249,Implementasi offline mode dengan websocket/rest api di android,Android,"Rp 500,000 - 700,000",7,"Saat ini kami memiliki aplikasi android native berbasis java dimana aplikasi ini memiliki database offline untuk mengakomodir kondisi jaringan yang kurang baik. Data akan disimpan di db sebelum sync ke server.Kendala saat ini, ketika jaringan internet lambat maka user akan menunggu sampai timeout kira2 2-3 menit baru switch ke offline mode. Hal ini sangat menyulitkan user. Harapannya ada sistem seperti websocket/rest api untuk cek jaringan",,,,,,,,,,,,,,,,,,,,
250,Upload apk ke playstore,Mobile Programming,"Rp 150,000 - 250,000",7,"Dear brosaya tidak punya akun, untuk itu saya butuh jasa upload apk ke google playstore.Bagi yang mampu silakan bid, terima kasih",,,,,,,,,,,,,,,,,,,,
251,tools console with AI,Android,"Rp 1,000,000 - 2,000,000",3,Dicari dev Android atau javascript  Untuk membuat tool whatapps   Fitur:   auto create account whatappsAuto received otp by number/callSupport rotator proxyExport file  Info lebih lanjut silahlan kontak saya,,,,,,,,,,,,,,,,,,,,
252,Pembuatan Mobile Apps berbasis Java,Laravel Framework,"Rp 5,000,000 - 10,000,00",20,"Project ini adalah aplikasi untuk pengguna kendaraan listrik untukpengisian energi. Yang dikerjakan pada project ini adalah pembuatan backendMobile apps berbasis Java, dengan framework Spring boot. Lebih spesifik daripekerjaan ini adalah membutuhkan deployment programmer untuk menangani pascainstalasi program supaya lebih reliabel, salah satunya adalah setting SSL,khususnya didalam environment Docker.",,,,,,,,,,,,,,,,,,,,
253,butuh aplikasi untuk mengacak kata,Mobile Programming,"Rp 1,000,000 - 1,500,000",7,saya membutuhkan aplikasi yang bisa mengacak kata berupa huruf dan angka dan bisa dicopy,,,,,,,,,,,,,,,,,,,,
254,Pembuatan Aplikasi Top Up Games,Mobile Programming,"Rp 3,000,000 - 7,000,000",14,"Aplikasi top up game yang dapat di upload ke playstore dan apps store,Aplikasi Top Up game dan PPOB contoh aplikasi VOCAGAME",,,,,,,,,,,,,,,,,,,,
255,Aplikasi Android Wifi RTT,Android,"Rp 500,000 - 1,000,000",14,Aplikasi akan digunakan untuk pengambilan data penelitian berupa distance(jarak hp ke wifi) dan nilai rssi. Aplikasi mampu menampilkan wifi disekitar beserta keterangan apakah wifi tersebut support RTT atau tidak. Penelitian nanti akan menggunakan 6 wifi dan harapannya aplikasi bisa menangkap nilai distance dan rssi dari ke 6 wifi secara bersamaan. Setelahnya data yang sudah direcord dapat di export menjadi csv.Berikut contoh nya : https://github.com/Plinzen/android-rttmanager-sample(hanya menampilkan 1 data wifi),,,,,,,,,,,,,,,,,,,,
256,Aplikasi mobile klasifikasi mendeteksi jenis buah metode learning vector quantization,Mobile Programming,"Rp 1,500,000 - 3,000,000",7,Saya ingin membuat aplikasi mobile dengan react native untuk mendeteksi jenis buah  dengan kamera hp,,,,,,,,,,,,,,,,,,,,
257,Bantu saya membuatkan chart di flutter,Mobile Programming,"Rp 150,000 - 250,000",1,Bantu saya membuatkan chart di flutter secara remote dengan fl chart,,,,,,,,,,,,,,,,,,,,
258,Konten Cosplay sosmed,Graphic Design,"Rp 600,000 - 900,000",7,"Haloo...Saya perlu 60 konten instagram + editing.Konten tentang cosplay, wibu.Kalau kena copyright resiko ditanggung sendiri ya.Silahkan ajukan penawaran.Terimakasih",,,,,,,,,,,,,,,,,,,,
259,Dibutuhkan Ilustrator untuk membuat buku Ensiklopedia,Graphic Design,"Rp 4,000,000 - 7,000,000",30,Dibutuhkan Ilustrator untuk membuat buku Ensiklopedia. jadi saya ingin membuat 3 buku ensiklopedia dan materi di dalam nya terdapat 75 tanaman yang harus di ilustrasikan. jadi yang perlu di buat 6 cover buku depan belakang untuk 3 buku dan 75 : 3 buku untuk desain dalam buku.jika memang cocok nanti dibicarakan lebih lanjut.untuk style gambar ada di file.kirim Portofolio jika berminat,,,,,,,,,,,,,,,,,,,,
260,Pembuatan PPT IP Project,Graphic Design,"Rp 500,000 - 700,000",14,Dibutuhkan freelancer untuk membuat 1 PPT IP Project dengan penjelasan sebagai berikut :1. terbiasa membuat company profile2. bisa membuat animasi3. kreatif4 Materi sudah disiapkan hanya tinggal diolah saja.,,,,,,,,,,,,,,,,,,,,
261,Jasa desain kartu nama,Graphic Design,"Rp 150,000 - 250,000",2,Membutuhkan jasa desain kartu nama perusahaan dengan desain milenial dengan menggunakan barcode yang nantinya akan mengarah ke contact person nama yang tertera di kartu tersebut,,,,,,,,,,,,,,,,,,,,
262,Dicari Akun Canva Contributor,Graphic Design,"Rp 1,000,000 - 2,500,000",10,"Yang punya akun canva contributor atau akun canva creator grafik elemen yang tidak terawat atau mau dijual, saya siap nampung",,,,,,,,,,,,,,,,,,,,
263,Fashion Designer (Full-Time Position),Graphic Design,"Rp 5,000,000 - 6,000,000",7,"Job Description:Managing design process from conception through to final styling.Conducting market research to identify new trends, fabrics, techniques, and seeking fresh design inspiration.Concepting. Select & propose seasonal themes, make edits to line, and create new concepts.Production. Selecting fabrics and trims. Creating production sketches and tech packs.Presentation. Reviewing product [story, mood, color boards, and samples].Requirements:A fashion design degree with a previous experience in fashion related field.Excellent design and conceptual skills. Proficient with MS Excel, Adobe Illustrator, and ability to do sketches by hand.A great sense of style, pattern, illustration, and color.Outstanding communication skills.Ability to meet multiple deadlines.Willing to be placed in South Jakarta, Indonesia.",,,,,,,,,,,,,,,,,,,,
264,Design Persiapan KKR Gereja,Graphic Design,"Rp 450,000 - 900,000",7,"1.Design BajuBerisi Tulisan : Time To GaspollKitab firman Tuhan : Yeremia 18:42.Design UndanganIBADAH KKR (KEBAKTIAN KEBANGUNAN ROHANI)Thema : ""Time To Gaspoll""Pembicara : ""Ps. Donny Jacob""Tanggal 17 Juni 2023 Start Jam 18:00 WITATanggal 18 Juni 2023 Start Jam 09:00 WITAAlamat : GTDI Grace Immanuel Lantai 4 Jalan Veteran Utara No.256B, Makassar - Sulawesi Selatan 901513.Design Banner Pembicara Untuk Tampil di Display GerejaIBADAH KKR (KEBAKTIAN KEBANGUNAN ROHANI)Thema : ""Time To Gaspoll""Pembicara : ""Ps. Donny Jacob""Tanggal 17 Juni 2023 Start Jam 18:00 WITATanggal 18 Juni 2023 Start Jam 09:00 WITA4.Design Pintu Lift Gereja (Menggunakan Logo GTDI Grace Immanuel)",,,,,,,,,,,,,,,,,,,,
265,Merapihkan Short E-Book(s) yang sudah di buat,Graphic Design,"Rp 250,000 - 500,000",7,"Kami saat ini mencari Editor E-Book yang akan bertanggung jawab untuk memastikan bahwa konten digital kami bersih, ditulis dengan baik, dan bebas dari kesalahan. Anda akan bekerja sama dengan tim penulis kami untuk menghasilkan e-book berkualitas tinggi yang memberikan nilai bagi pembaca kami.Kami punya 4 mini E-book sekitar 10-15 halamn yang perlu di redesign.Mohon apply jika kamu punya halaman serupa dan lampirkan portfolio ebook yang sudah pernah anda design.",,,,,,,,,,,,,,,,,,,,
266,Desain Ebook,Graphic Design,"Rp 750,000 - 2,000,000",5,"Halo,Saya mencari freelancer berpengalaman untuk desain buku tentang menurunkan berat badan dengan cara diet dan olahraga (menggunakan desain dan illustrasi modern). Total ada 70 halaman (dengan gambar), jika tanpa gambar jauh lebih sedikit jumlah halamannya. Gambar dan ilustrasi bisa menggunakan stock photo (nanti saya bantu dapatkan) atau menggunakan midjourney. Freelancer harus melampirkan contoh halaman buku yang pernah dibuat sebelumnya.Terima kasih.",,,,,,,,,,,,,,,,,,,,
267,Membuat logo usaha laundri dan jasa setrika,Logo Design,"Rp 150,000 - 500,000",7,"Hi worker, saya ingin dibuatkan logo untuk 2 usaha yaitu laundry kiloan dan jasa setrika kiloan. Saya mau logonya keliatan keren, ga norak dan ga murahan, simple tapi kliatan mewah, orang bisa tau dgn lihat logo itu adlh usaha laindri dan setrika kiloan. Rencana jika cocok, project akan berkelanjutan, utk membuat banner, dan promosi2 lainnya. Silahkan bid dgn harga yg pantas buat saya yg baru mulai usaha kecil2an ini.. thanks",,,,,,,,,,,,,,,,,,,,
268,Logo Aplikasi Rental / Transportasi,Logo Design,"Rp 250,000 - 500,000",7,"Halo sobat project, apa kabar, bisa bantu tidak buatkan logo utk aplikasi rental mobil, namanya nanti saya japri , logo nya tidak ribet, simpel dan mengena, kalau dari jarak jauh, udah yakin itu aplikasi rental mobil. ilustrasinya logo mengenai share lokasi , ada unsur mbl nya dan ada unsur transportasinya, tidak pernah terpublikasi sebelumnya. untuk logo utama apk cust warna logo bebas, kalau bisa unsur warna lampu lalu lintas yg domain, dan untuk apk mitra cukup 1 warna saja, kalau bisa ada unsur hexagon nya jg (semisal bisa)format file .ai, png, jpg, dan psdmungkin itu aja, saya ucapkan terima kasih",,,,,,,,,,,,,,,,,,,,
269,Comic Strip Untuk Konten Buku,Graphic Design,"Rp 1,500,000 - 3,000,000",3,"Halo,Saya lagi cari ilustrator yang biasa bikin comic strip.Comic sebagai pelengkap konten/isi buku.Comic menyesuaikan konsep/story isi buku, style dari brand guideline.Tema buku: Cerita Guru-guru di daerah (Pendidikan)Jadi Ilustrator akan menvisualisasikan cerita dari beberapa guru tersebut (per kabupaten) ke dalam bentuk komik. Total ada 5 cerita (5 kabupaten).Silahkan kasih penawaran dan durasi pengerjaan, disertai contoh komik yang pernah dibuat.Thank you.",,,,,,,,,,,,,,,,,,,,
270,Sticker Lift Gereja,Graphic Design,"Rp 200,000 - 400,000",7,"Membuat Sticker Lift Gereja Ukuran Panjang 81cm, Tinggi 209cm",,,,,,,,,,,,,,,,,,,,
271,Pembuatan Logo Aplikasi Kasir POS,Logo Design,"Rp 150,000 - 250,000",7,Pembuatan Logo Aplikasi Kasir POSSilahkan bid dan sertakan portofolio design andaTerimakasih,,,,,,,,,,,,,,,,,,,,
272,Dibutuhkan Logo Untuk Toko Perabot Pecah Belah,Logo Design,"Rp 150,000 - 250,000",2,"Dibutuhkan Logo untuk toko perabot pecah belah1. Logo wajib memiliki filosofi2. Logo Mudah diingan dan bagus untuk dilihat3. Bernuansa modern tapi jangan seperti logo cafe atau produk karena ini logo tokoapabila sebelumnya sudah pernah membuat logo, boleh di masukan untuk referensi bid",,,,,,,,,,,,,,,,,,,,
273,Logo Usaha Digital,Logo Design,"Rp 150,000 - 250,000",7,"Halo sobat projects,Saya butuh bantuan dibuatkan logo untuk usaha digital, konsepnya sudah ada, butuh penyempurnaan dan filosofi dari logoilustrasinya dan konsepnya akan disampaikan secara langsung. , Logo yang akan dibuat bukan hasil dari aplikasi online. format file .ai, png, jpg, dan psdmungkin itu aja, saya ucapkan terima kasih",,,,,,,,,,,,,,,,,,,,
274,Design logo kuliner pisang toping dan minuman,Logo Design,"Rp 200,000 - 250,000",3,1. Membuat logo Pisang Toping dengan brand Fresh Cemara  2.Membuat Logo Minuman Kekinian dengan Brand Fresh Cemara  3. Pengerjaan 1-3 hari dengan budget sesuai bid yah.. Lampirkan juga porpolio design logo anda lebih bagus yang sudah pengalaman di logo kuliner.. Kalau bisa jangan pakai template logo,,,,,,,,,,,,,,,,,,,,
275,Penyusunan ANDALALIN,AutoCAD,"Rp 1,000,000 - 2,000,000",14,Kami membutuhkan anggota tim yang dapat membantu penyusunan dokumen ANDALALIN.. Syarat: memiliki Sertifikat Penyusun ANDALALIN dari Kemenhub,,,,,,,,,,,,,,,,,,,,
276,Buat 1 logo,Logo Design,"Rp 150,000 - 200,000",7,"dibutuhkan logo design 1 . contoh nya sbb : https://prnt.sc/n_gQQE0JMMHwsyarat: program adobe photoshop unmerged layer 3000 x 3000 ( 1 : 1 ) , 300 DPI semua font dan source harus diberikan Revisi bebas Tema logo text colourfull dan fun",,,,,,,,,,,,,,,,,,,,
277,Pembuatan logo brand digital agency,Logo Design,"Rp 150,000 - 200,000",5,Dibutuhkan sebuah logo brand untuk digital agency.Responsibilities:Membuat sebuah logoPengaplikasian logo pada media cetakQualification:Komunikasi yang baikMelampirkan contoh logo dan pengaplikasiannya yang pernah dibuatBrief selengkapnya akan diberikan kepada freelancer terpilih. Terima kasih.,,,,,,,,,,,,,,,,,,,,
278,"Designer Pro Buat Bikin Feed, Post Sosmed Untuk Top Up Game Store",Graphic Design,"Rp 50,000 - 100,000l",1,"Butuh designer profesional yg menguasai Photoshop / CorelDRAW untuk membuat post feed di sosmed keperluan promo tiap hari...Spesifikasi post feed dg detail berikut :Kata-kata : Top Up Game Murah, Proses Instant 1 Detik, Yuk topup nya hanya di www. website .com, Dapatkan harga lebih murah lagi dg bergabung menjadi resellerBudget : 50-100rb / postDeadline : 1 hariNote : Tidak perlu mengirim ijazah, CV, portofolio, dll yang saya butuhkan hanya SKILL berupa hasil editan !!! Jika cocok akan saya rekrut menjadi tim di perusahaan saya dg gaji 1-3jt/bln tergantung skill",,,,,,,,,,,,,,,,,,,,
279,Re Design Cover Buku A,Graphic Design,"Rp 100,000 - 200,000",5,"Yth. Freelancer Kami ada 1 (satu) design cover buku tahun kemarin menggunakan photoshop (File psd nya ada)Skr kami mintak untuk di designkan ulang 1 (satu) cover saja.Jika oke, maka file cover bentuk PSD yang kemarin akan kami kirim untuk didesign ulang.Terima kasih",,,,,,,,,,,,,,,,,,,,
280,Cari Akun Canva Template Creator atau Element Creator,Graphic Design,"Rp 1,000,000 - 3,000,000",5,"Yang punya akun canva creator element atau creator template yang tidak terawat atau mau dijual, saya siap nampung",,,,,,,,,,,,,,,,,,,,
281,Cari orang IT yang bisa balikin akun Instagram yang ke banned,Social Media,"Rp 1,000,000 - 1,000,000",7,"Buat teman2 yang bisa balikin akun instagram yang ke banned mohon info, akun saya seperti sengaja dilenyapkan direport secara brutal walau postingan tidak melanggar dan akhirnya ke banned",,,,,,,,,,,,,,,,,,,,
282,Customer Service Onlineshop,Customer Service,"Rp 1,500,000 - 3,000,000",30,"Saat ini saya sedang membutuhkan customer service online shop yang menjual produk produk fashion. Adapun kriteria nya adalah sebagai berikut : Wanita usia 17-35 tahunAktif menggunakan smartphoneBisa mengetik cepat, mengetik 10 jari menjadi nilai plusSabar dan senang berinteraksi dengan orang melalui chatAdapun tugas nya adalah : Menjawab pertanyaan customer dan calon customerMenjawab dan menangani komplain, saran dan masukan dari customerBagi yang berminat, silakan apply dan kirimkan cv nya ya. Thank you!",,,,,,,,,,,,,,,,,,,,
283,Socmed Specialist Account,Social Media,"Rp 5,000,000 - 6,000,000",30,"Fast Growing Digital Agency, need's creative team to support our clients in Bekasi.   We hope it's YOU.     - Responsible for creating & managing social media campaign     - Project Management : handling coordination with internal team & clients  - Gooo analytic & communication skill     Location : Bekasi  SEND YOUR RESUME",,,,,,,,,,,,,,,,,,,,
284,PIC koordinasi Narasumber,Social Media,"Rp 150,000 - 200,000",7,Tugas 1. mencari 10 Narasumber berkualitas di bidang Teknologi2. menghubungi dan mengundang  Narasumber 3. berkoordinasi dengan narasumber - jadwal acara - folowup mengingatkan - memberikan sugest Topik 4. berkoordinasi dengan PIC internal Acara,,,,,,,,,,,,,,,,,,,,
285,PENGAJAR DIGITAL MARKETING,Internet Marketing,"Rp 5,000,000 - 7,000,00",30,"saya membutuhkan freelancer yang terbiasa mengajar digital marketing mengajar 5 hari dalam seminggu (senin - jumat)  1 hari 3 sesi  mengajar, sbb :  09.00 - 12.00  13.00 - 15.00  17.00 - 20.30  rutin setiap hari hanya untuk yang bisa fulltime  kontrak selama project berlangsung.  Syarat : Pengalaman di bidang mengajar  digital marketingPengalaman mengelola digital marketing praktisi Punya Akun Linkedin dan Mau di update Punya Srtifikat mengenai digital marketing atau yg relevan",,,,,,,,,,,,,,,,,,,,
286,ADMIN MODERATOR ZOOM,Administrative Support,"Rp 500,000 - 1,500,000",5,"saya membutuhkan freelancer yang terbiasa mengajar JADI ADMIN ZOOM mengajar 5 hari dalam seminggu (senin - jumat)  1 hari 3 sesi  mengajar, sbb :  09.00 - 12.00  13.00 - 15.00  17.00 - 20.30  rutin setiap hari hanya untuk yang bisa fulltime  kontrak selama project berlangsung.  Syarat : Pengalaman di bidang mengajar  Punya Akun Linkedin dan Mau di update Punya Srtifikat  yg relevan",,,,,,,,,,,,,,,,,,,,
287,Blasting whatsapp ke Nomor yang ada di grup,Social Media Marketing (SMM),"Rp 150,000 - 200,000",2,"Jadi di grup punya member sebanyak 500 orang, saya ingin pesan terkait event kampus saya ter blasting ke Pirvate message atau japrian ke 500 org tersebut. Boleh dilakukan scr manual maupun automatic",,,,,,,,,,,,,,,,,,,,
288,"Jasa Iklan Facebook Ads, Instagram Ads, Google Ads, Tiktok Ads",Social Media Marketing (SMM),"Rp 500,000 - 1,200,000",30,"Halo workers,saya sedang mencari orang yang bisa bantu mengiklankan di FB, IG, Google ataupun TikTokDiharapkan yang sudah berpengalaman yaSilahkan cantumkan portofolionya dan tinggalkan nomor yang dapat dihubungiTerima kasihAdmin Note:Dilarang mencantumkan ataupun meminta kontak pribadi pada Deskripsi Project ataupun pada link yang Anda cantumkan. Semua komunikasi harus dilakukan melalui fasilitas yang sudah disediakan projects.co.id. Saat ini fasilitas komunikasi diprojects.co.id sudah sangat memadai, silahkan gunakan fasilitas yang ada.",,,,,,,,,,,,,,,,,,,,
289,Setup & Monitoring Digital Marketing Activity,Social Media Marketing (SMM),"Rp 1,000,000 - 5,000,000",30,"Halo freelancers,Sy lagi cari yang bisa bantu saya untuk setup & monitoring digital marketing produk F&B FMCG Rasajuara.com, memaksimalkan awareness, traffic & konversi sales produk kita secara digital baik di marketplace maupun di online shop sendiri (dibuat dengan orderonline.id)Sebagai perkenalan, Rasa Juara adalah perusahaan yang bergerak di bidang manufaktur dan distribusi produk-produk makanan kemasan yang secara lengkap portfolio produk bisa di cek di website kita (rasajuara.com), kita memiliki 2 channel penjualan yaitu online & offlinejika anda berminat, silahkan pitch jasa anda dan portfolio jasa anda, mungkin bisa di share juga pengalamannya menghandle brand sejenis jika ada. Mohon disertakan juga ROAS target pribadi jika jadi menghandle produk kita.Terima kasih",,,,,,,,,,,,,,,,,,,,
290,Project Account,Social Media Marketing (SMM),"Rp 5,000,000 - 7,000,000",30,"Fast Growing Digital Agency, need's creative team to support our clients in Bekasi.     We hope it's YOU.  - Strong Knowledge in social media organic - Strong Knowledge in digital paid ads ( fb, ig, tiktok, linkedin, google, etc ) - Good in project management - Excellent interpersonal skills with aptitude in building relationship with clients - Excellent in problem solving Location : BEKASI",,,,,,,,,,,,,,,,,,,,
